spp	dS	+-SE
Altcal	0.1045	0.0194
Altcom	0.0917	0.0181
Altshe	0.0887	0.0178
Arcstr	0.0990	0.0192
Asplep	0.0977	0.0190
Astbur	0.0961	0.0186
Astfla	0.1030	0.0197
Astpal	0.0920	0.0185
Auldew	0.1164	0.0214
Baicen	0.0881	0.0177
Batfas	0.1175	0.0209
Batfer	0.1149	0.0208
Batgra	0.1045	0.0196
Bathor	0.1175	0.0209
Batleo	0.1125	0.0203
Batmin	0.1194	0.0212
Batvit	0.1126	0.0203
BenhoM	0.0888	0.0178
Benhor	0.0854	0.0175
Benmel	0.0826	0.0172
Bentri	0.0859	0.0176
Boumic	0.0919	0.0185
Calmac	0.0978	0.0190
Calmel	0.0970	0.0189
Calple	0.0972	0.0189
Carsch	0.1092	0.0210
Chabif	0.0852	0.0175
Chabri	
Chacya	0.0914	0.0181
Chando	0.0878	0.0176
Chapop	
Cphfr5	0.0872	0.0178
Cphfro	0.0908	0.0183
Cphgib	0.0940	0.0186
Cteben	0.0827	0.0172
Ctehor	0.0890	0.0179
Ctepol	0.0982	0.0191
Cunlon	0.1034	0.0202
Cyafoa	0.1118	0.0208
Cyafur	0.1053	0.0202
Cypcol	0.0865	0.0177
Cypdwj	0.0899	0.0181
Cypkan	0.0970	0.0189
Cypkib	0.0776	0.0169
Cyplep	0.0888	0.0179
Cypmic	0.0897	0.0181
Cyppav	0.0869	0.0178
Cypzon	0.0875	0.0179
Ectdes	0.1056	0.0202
EctspN	0.1049	0.0201
Enamel	0.1058	0.0199
Erecya	0.0912	0.0180
Eremar	0.0892	0.0179
Gnaper	0.0903	0.0182
Gnapfe	0.0952	0.0185
Gralem	0.0926	0.0187
Gwcbel	0.0820	0.0171
Gwcchr	0.0814	0.0170
Hapmic	0.0944	0.0183
Hemste	0.0877	0.0176
HemstZ	0.0905	0.0179
Hplkil	0.0983	0.0188
HplspC	0.0914	0.0184
Hplsta	0.0946	0.0187
Hplvan	0.0964	0.0187
Intloo	0.0889	0.0182
Juldic	0.0921	0.0182
Julkom	0.0785	0.0167
JulmaN	0.0836	0.0171
JulmaS	0.0839	0.0172
Julmrk	0.0842	0.0173
Julorn	0.0817	0.0171
Julreg	0.0782	0.0167
JulreK	0.0832	0.0171
Jultra	0.0759	0.0165
Julunt	0.0873	0.0176
Lamcal	0.1024	0.0196
Lamkun	0.0981	0.0188
Lamlap	0.0924	0.0186
Lamlem	0.0979	0.0187
Lammel	0.0948	0.0183
Lamoce	0.0923	0.0179
LamorC	0.0826	0.0172
Lamorn	0.0849	0.0177
LamorS	0.0842	0.0176
Lamsig	0.0908	0.0182
Lamspe	0.1103	0.0198
Lamtig	0.0985	0.0188
Lchabe	0.0821	0.0171
Lchaur	0.0789	0.0168
Lchsta	0.0829	0.0173
Lepatt	0.1065	0.0197
Lepcun	0.0930	0.0184
Lepelo	0.1017	0.0191
Lepkam	0.1061	0.0197
Lepken	0.1064	0.0200
LepmeK	0.1035	0.0194
Lepmim	0.1091	0.0199
Leppro	0.0990	0.0189
Lesper	0.1092	0.0207
Lessta	0.1075	0.0206
Limdar	0.0908	0.0182
Loblab	0.0937	0.0188
Mdcrot	0.1103	0.0202
Mdcten	0.1097	0.0207
Neobif	0.0942	0.0186
Neobou	0.1064	0.0197
Neobre	0.0944	0.0190
Neobri	0.0964	0.0187
