spp	dS	+-SE
Altcal	0.0487	0.0203
Altcom	0.0573	0.0222
Altshe	0.0573	0.0222
Arcstr	0.0456	0.0189
Asplep	0.0402	0.0182
Astbur	0.0456	0.0189
Astfla	0.0517	0.0200
Astpal	0.0517	0.0200
Auldew	0.0402	0.0182
Baicen	0.0381	0.0172
Batfas	0.0451	0.0187
Batfer	0.0451	0.0187
Batgra	0.0451	0.0187
Bathor	0.0451	0.0187
Batleo	0.0451	0.0187
Batmin	0.0398	0.0181
Batvit	0.0451	0.0187
BenhoM	0.0397	0.0180
Benhor	0.0397	0.0180
Benmel	0.0398	0.0181
Bentri	0.0397	0.0180
Boumic	0.0396	0.0179
Calmac	0.0402	0.0182
Calmel	0.0402	0.0182
Calple	0.0386	0.0175
Carsch	0.0402	0.0182
Chabif	0.0404	0.0183
Chabri	0.0404	0.0183
Chacya	0.0489	0.0203
Chando	0.0404	0.0183
Chapop	0.0414	0.0188
Cphfr5	0.0397	0.0180
Cphfro	0.0404	0.0183
Cphgib	0.0397	0.0180
Cteben	0.0397	0.0180
Ctehor	0.0402	0.0182
Ctepol	0.0569	0.0220
Cunlon	0.0402	0.0182
Cyafoa	0.0402	0.0182
Cyafur	0.0402	0.0182
Cypcol	0.0409	0.0186
Cypdwj	0.0403	0.0183
Cypkan	0.0402	0.0182
Cypkib	0.0402	0.0183
Cyplep	0.0403	0.0183
Cypmic	0.0407	0.0185
Cyppav	0.0403	0.0183
Cypzon	0.0403	0.0183
Ectdes	0.0402	0.0182
EctspN	0.0402	0.0182
Enamel	0.0404	0.0183
Erecya	0.0405	0.0184
Eremar	0.0402	0.0182
Gnaper	0.0381	0.0172
Gnapfe	0.0401	0.0182
Gralem	0.0402	0.0182
Gwcbel	0.0402	0.0182
Gwcchr	0.0402	0.0182
Hapmic	0.0397	0.0180
Hemste	0.0451	0.0187
HemstZ	0.0451	0.0187
Hplkil	0.0456	0.0189
HplspC	0.0517	0.0200
Hplsta	0.0517	0.0200
Hplvan	0.0537	0.0207
Intloo	0.0401	0.0182
Juldic	0.0404	0.0183
Julkom	0.0404	0.0183
JulmaN	0.0412	0.0187
JulmaS	0.0404	0.0183
Julmrk	0.0412	0.0187
Julorn	0.0404	0.0183
Julreg	0.0404	0.0183
JulreK	0.0412	0.0187
Jultra	0.0404	0.0183
Julunt	0.0404	0.0183
Lamcal	0.0487	0.0203
Lamkun	0.0487	0.0203
Lamlap	0.0487	0.0203
Lamlem	0.0407	0.0185
Lammel	0.0643	0.0232
Lamoce	0.0622	0.0224
LamorC	0.0487	0.0203
Lamorn	0.0490	0.0204
LamorS	0.0487	0.0203
Lamsig	0.0490	0.0204
Lamspe	0.0570	0.0219
Lamtig	0.0404	0.0183
Lchabe	0.0402	0.0182
Lchaur	0.0388	0.0176
Lchsta	0.0402	0.0182
Lepatt	0.0487	0.0203
Lepcun	0.0407	0.0185
Lepelo	0.0487	0.0203
Lepkam	0.0487	0.0203
Lepken	0.0487	0.0203
LepmeK	0.0487	0.0203
Lepmim	0.0487	0.0203
Leppro	0.0487	0.0203
Lesper	0.0403	0.0183
Lessta	0.0402	0.0182
Limdar	0.0401	0.0182
Loblab	0.0545	0.0226
Mdcrot	0.0402	0.0182
Mdcten	0.0462	0.0192
Neobif	0.0404	0.0183
Neobou	0.0487	0.0203
Neobre	0.0404	0.0183
Neobri	0.0366	0.0185
NeobrM	0.0410	0.0186
Neobue	0.0404	0.0183
NeocaK	0.0487	0.0203
Neocal	0.0404	0.0183
Neocau	0.0487	0.0203
Neochi	0.0412	0.0187
Neochr	0.0404	0.0183
Neocra	0.0404	0.0183
Neocyg	0.0404	0.0183
Neocyl	0.0404	0.0183
Neodev	0.0487	0.0203
Neoese	0.0404	0.0183
Neofal	0.0404	0.0183
NeofaM	0.0405	0.0184
Neofas	0.0488	0.0203
Neofur	0.0404	0.0183
NeofuU	0.0404	0.0183
Neogra	0.0404	0.0183
NeogrM	0.0404	0.0183
Neohec	0.0487	0.0203
Neohel	0.0404	0.0183
Neokom	0.0407	0.0185
NeoleL	0.0404	0.0183
Neoleu	0.0409	0.0186
Neolon	0.0404	0.0183
Neolou	0.0494	0.0206
Neomar	0.0404	0.0183
Neomee	0.0487	0.0203
Neomod	0.0404	0.0183
Neomon	0.0404	0.0183
Neomul	0.0487	0.0203
Neomux	0.0404	0.0183
Neonig	0.0404	0.0183
Neonve	0.0404	0.0183
Neoobs	0.0404	0.0183
Neooli	0.0460	0.0191
Neopec	0.0404	0.0183
Neopet	0.0404	0.0183
Neople	0.0487	0.0203
Neopro	0.0404	0.0183
Neopul	0.0412	0.0187
Neosav	0.0488	0.0203
Neosex	0.0404	0.0183
Neosim	0.0572	0.0221
Neospl	0.0404	0.0183
Neotet	0.0404	0.0183
Neotim	0.0406	0.0184
Neotoa	0.0494	0.0205
Neotre	0.0404	0.0183
Neovar	0.0487	0.0203
NeoveB	0.0487	0.0203
