OT	0.4465789155611778	156
VT	0.3782173287814556	153
OTRa	0.09834355755538782	393
OTRb.tr1	0.3969418371832708	356
OTRb.tr2	0.3197846207521894	392
OTRb.tr3	0.4059036919313652	138
VTR1Aa.tr1	0.2507579425714973	412
VTR1Aa.tr2	0.2567064278974093	429
VTR1Ab	0.1384718969229057	401
VTR2Aa	0.1718297954161082	508
VTR2Ab.tr1	0.3468241309852479	363
VTR2Ab.tr2	0.223488625422842	430
VTR2Ab.tr3	0.2776890185131599	383
VTR2Ba	0.198095056361456	357
VTR2Bb.tr1	0.3315279777582005	383
VTR2Bb.tr2	0.2607208423225744	347
