Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               20000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
512	0.165509	15000	-0.106628	-96.211543
513	0.164661	15000	-0.106277	-96.317820
514	0.163815	15000	-0.105536	-96.423356
515	0.162972	15000	-0.105631	-96.528986
516	0.162132	15000	-0.104940	-96.633926
517	0.161294	15000	-0.104718	-96.738644
518	0.160458	15000	-0.104684	-96.843329
519	0.159626	15000	-0.104505	-96.947833
520	0.158796	15000	-0.104469	-97.052302
521	0.157968	15000	-0.103902	-97.156204
522	0.157143	15000	-0.103623	-97.259827
523	0.156321	15000	-0.103367	-97.363194
524	0.155501	15000	-0.102787	-97.465981
525	0.154684	15000	-0.102782	-97.568763
526	0.153870	15000	-0.102400	-97.671164
527	0.153058	15000	-0.102203	-97.773366
528	0.152248	15000	-0.101294	-97.874661
529	0.151441	15000	-0.101264	-97.975924
530	0.150637	15000	-0.101304	-98.077228
531	0.149835	15000	-0.100974	-98.178202
532	0.149036	15000	-0.100643	-98.278845
533	0.148240	15000	-0.100834	-98.379679
534	0.147446	15000	-0.100318	-98.479997
535	0.146654	15000	-0.099805	-98.579802
536	0.145865	15000	-0.099938	-98.679740
537	0.145079	15000	-0.099312	-98.779052
538	0.144295	15000	-0.099374	-98.878426
539	0.143514	15000	-0.098381	-98.976807
540	0.142735	15000	-0.098587	-99.075394
541	0.141959	15000	-0.098570	-99.173964
542	0.141186	15000	-0.098151	-99.272115
543	0.140415	15000	-0.097379	-99.369494
544	0.139646	15000	-0.097084	-99.466577
545	0.138880	15000	-0.097044	-99.563622
546	0.138116	15000	-0.096517	-99.660139
547	0.137356	15000	-0.096718	-99.756856
548	0.136597	15000	-0.096457	-99.853313
549	0.135841	15000	-0.095531	-99.948844
550	0.135088	15000	-0.095694	-100.044538
551	0.134337	15000	-0.094923	-100.139461
552	0.133588	15000	-0.095092	-100.234554
553	0.132843	15000	-0.095264	-100.329818
554	0.132099	15000	-0.094521	-100.424339
555	0.131358	15000	-0.094619	-100.518957
556	0.130620	15000	-0.093866	-100.612824
557	0.129884	15000	-0.093526	-100.706350
558	0.129151	15000	-0.093814	-100.800164
559	0.128420	15000	-0.093176	-100.893340
560	0.127691	15000	-0.092475	-100.985815
561	0.126965	15000	-0.092809	-101.078623
562	0.126242	15000	-0.092424	-101.171047
563	0.125521	15000	-0.091978	-101.263025
564	0.124802	15000	-0.091906	-101.354931
565	0.124086	15000	-0.091245	-101.446176
566	0.123373	15000	-0.090903	-101.537080
567	0.122662	15000	-0.090997	-101.628076
568	0.121953	15000	-0.090402	-101.718478
569	0.121247	15000	-0.090639	-101.809117
570	0.120543	15000	-0.090345	-101.899462
571	0.119842	15000	-0.089986	-101.989448
572	0.119143	15000	-0.089926	-102.079373
573	0.118447	15000	-0.089171	-102.168544
574	0.117753	15000	-0.089127	-102.257671
575	0.117062	15000	-0.088718	-102.346389
576	0.116373	15000	-0.089348	-102.435737
577	0.115686	15000	-0.088263	-102.524000
578	0.115002	15000	-0.087946	-102.611946
579	0.114320	15000	-0.087830	-102.699776
580	0.113641	15000	-0.087435	-102.787211
581	0.112964	15000	-0.087489	-102.874700
582	0.112290	15000	-0.086797	-102.961497
583	0.111618	15000	-0.086841	-103.048338
584	0.110948	15000	-0.086767	-103.135105
585	0.110281	15000	-0.086126	-103.221231
586	0.109616	15000	-0.086045	-103.307276
587	0.108954	15000	-0.086125	-103.393401
588	0.108294	15000	-0.085187	-103.478588
589	0.107637	15000	-0.084675	-103.563263
590	0.106981	15000	-0.085545	-103.648808
591	0.106329	15000	-0.084405	-103.733213
592	0.105678	15000	-0.084572	-103.817785
593	0.105030	15000	-0.083876	-103.901661
594	0.104385	15000	-0.084177	-103.985838
595	0.103742	15000	-0.083156	-104.068994
596	0.103101	15000	-0.083569	-104.152563
597	0.102463	15000	-0.083081	-104.235644
598	0.101827	15000	-0.082406	-104.318050
599	0.101193	15000	-0.082463	-104.400513
600	0.100562	15000	-0.082751	-104.483264
601	0.099933	15000	-0.082233	-104.565496
602	0.099306	15000	-0.082056	-104.647552
603	0.098682	15000	-0.081586	-104.729138
604	0.098060	15000	-0.081273	-104.810411
605	0.097441	15000	-0.080854	-104.891266
606	0.096824	15000	-0.081850	-104.973115
607	0.096209	15000	-0.080575	-105.053690
608	0.095596	15000	-0.080706	-105.134396
609	0.094986	15000	-0.079738	-105.214135
610	0.094379	15000	-0.080010	-105.294144
611	0.093773	15000	-0.080109	-105.374254
612	0.093170	15000	-0.079056	-105.453310
613	0.092570	15000	-0.078854	-105.532163
614	0.091971	15000	-0.078957	-105.611121
615	0.091375	15000	-0.078372	-105.689493
616	0.090781	15000	-0.079134	-105.768627
617	0.090190	15000	-0.077737	-105.846363
618	0.089601	15000	-0.077294	-105.923657
619	0.089014	15000	-0.077634	-106.001291
620	0.088430	15000	-0.077092	-106.078383
621	0.087848	15000	-0.077084	-106.155467
622	0.087268	15000	-0.077408	-106.232875
623	0.086690	15000	-0.076616	-106.309491
624	0.086115	15000	-0.076277	-106.385768
625	0.085542	15000	-0.076165	-106.461933
626	0.084971	15000	-0.075509	-106.537442
627	0.084403	15000	-0.075776	-106.613218
628	0.083837	15000	-0.075797	-106.689015
629	0.083273	15000	-0.075243	-106.764259
630	0.082712	15000	-0.074995	-106.839253
631	0.082152	15000	-0.074691	-106.913944
632	0.081595	15000	-0.074057	-106.988001
633	0.081041	15000	-0.073966	-107.061967
634	0.080488	15000	-0.074349	-107.136316
635	0.079938	15000	-0.073817	-107.210132
636	0.079390	15000	-0.073788	-107.283920
637	0.078845	15000	-0.073364	-107.357285
638	0.078301	15000	-0.072445	-107.429730
639	0.077760	15000	-0.072729	-107.502459
640	0.077221	15000	-0.072957	-107.575416
641	0.076684	15000	-0.072375	-107.647791
642	0.076150	15000	-0.072087	-107.719878
643	0.075618	15000	-0.071801	-107.791679
644	0.075088	15000	-0.072087	-107.863766
645	0.074560	15000	-0.071453	-107.935219
646	0.074035	15000	-0.071443	-108.006662
647	0.073512	15000	-0.070696	-108.077359
648	0.072991	15000	-0.070808	-108.148166
649	0.072472	15000	-0.070531	-108.218697
650	0.071955	15000	-0.070160	-108.288857
651	0.071441	15000	-0.070038	-108.358896
652	0.070929	15000	-0.069897	-108.428793
653	0.070419	15000	-0.069428	-108.498221
654	0.069911	15000	-0.069122	-108.567343
655	0.069406	15000	-0.068672	-108.636016
656	0.068903	15000	-0.068837	-108.704853
657	0.068401	15000	-0.069596	-108.774449
658	0.067903	15000	-0.068064	-108.842513
659	0.067406	15000	-0.068263	-108.910776
660	0.066911	15000	-0.067765	-108.978542
661	0.066419	15000	-0.067223	-109.045765
662	0.065929	15000	-0.067407	-109.113172
663	0.065441	15000	-0.067367	-109.180538
664	0.064955	15000	-0.067399	-109.247937
665	0.064471	15000	-0.067345	-109.315282
666	0.063990	15000	-0.066716	-109.381998
667	0.063510	15000	-0.066352	-109.448350
668	0.063033	15000	-0.066539	-109.514889
669	0.062558	15000	-0.065957	-109.580846
670	0.062085	15000	-0.065594	-109.646440
671	0.061615	15000	-0.065742	-109.712182
672	0.061146	15000	-0.065389	-109.777570
673	0.060680	15000	-0.065008	-109.842579
674	0.060216	15000	-0.065254	-109.907833
675	0.059753	15000	-0.064577	-109.972410
676	0.059293	15000	-0.064492	-110.036902
677	0.058836	15000	-0.063898	-110.100800
678	0.058380	15000	-0.063275	-110.164075
679	0.057926	15000	-0.063872	-110.227947
680	0.057475	15000	-0.063224	-110.291171
681	0.057025	15000	-0.063062	-110.354232
682	0.056578	15000	-0.062596	-110.416828
683	0.056133	15000	-0.063145	-110.479974
684	0.055690	15000	-0.062039	-110.542013
685	0.055249	15000	-0.061425	-110.603438
686	0.054810	15000	-0.062487	-110.665925
687	0.054373	15000	-0.061442	-110.727367
688	0.053939	15000	-0.061890	-110.789258
689	0.053506	15000	-0.060953	-110.850211
690	0.053076	15000	-0.061399	-110.911610
691	0.052647	15000	-0.060876	-110.972486
692	0.052221	15000	-0.061193	-111.033679
693	0.051797	15000	-0.060824	-111.094503
694	0.051375	15000	-0.061520	-111.156023
695	0.050955	15000	-0.059928	-111.215950
696	0.050537	15000	-0.060311	-111.276262
697	0.050121	15000	-0.059705	-111.335967
698	0.049707	15000	-0.059434	-111.395401
699	0.049295	15000	-0.059596	-111.454997
700	0.048885	15000	-0.058593	-111.513590
701	0.048478	15000	-0.059275	-111.572865
702	0.048072	15000	-0.057982	-111.630847
703	0.047668	15000	-0.058045	-111.688892
704	0.047267	15000	-0.058355	-111.747248
705	0.046867	15000	-0.058335	-111.805583
706	0.046470	15000	-0.057467	-111.863050
707	0.046074	15000	-0.057708	-111.920758
708	0.045681	15000	-0.057613	-111.978371
709	0.045289	15000	-0.057496	-112.035867
710	0.044900	15000	-0.056881	-112.092748
711	0.044512	15000	-0.056452	-112.149200
712	0.044127	15000	-0.056961	-112.206161
713	0.043744	15000	-0.057430	-112.263591
714	0.043362	15000	-0.056116	-112.319707
715	0.042983	15000	-0.055479	-112.375186
716	0.042606	15000	-0.056051	-112.431237
717	0.042230	15000	-0.056401	-112.487638
718	0.041857	15000	-0.055324	-112.542962
719	0.041485	15000	-0.055166	-112.598128
720	0.041116	15000	-0.055518	-112.653646
721	0.040749	15000	-0.055761	-112.709408
722	0.040383	15000	-0.054239	-112.763647
723	0.040020	15000	-0.055479	-112.819126
724	0.039658	15000	-0.054381	-112.873508
725	0.039299	15000	-0.054184	-112.927692
726	0.038941	15000	-0.054306	-112.981998
727	0.038585	15000	-0.053380	-113.035377
728	0.038232	15000	-0.053163	-113.088540
729	0.037880	15000	-0.053398	-113.141938
730	0.037530	15000	-0.053499	-113.195437
731	0.037182	15000	-0.053181	-113.248619
732	0.036836	15000	-0.052691	-113.301309
733	0.036493	15000	-0.053175	-113.354484
734	0.036151	15000	-0.052415	-113.406899
735	0.035810	15000	-0.051904	-113.458803
736	0.035472	15000	-0.052075	-113.510878
737	0.035136	15000	-0.051401	-113.562279
738	0.034802	15000	-0.051541	-113.613820
739	0.034469	15000	-0.051950	-113.665770
740	0.034139	15000	-0.051181	-113.716951
741	0.033810	15000	-0.050911	-113.767863
742	0.033484	15000	-0.050928	-113.818791
743	0.033159	15000	-0.050922	-113.869713
744	0.032836	15000	-0.051113	-113.920826
745	0.032515	15000	-0.050844	-113.971670
746	0.032196	15000	-0.050700	-114.022370
747	0.031879	15000	-0.049732	-114.072102
748	0.031563	15000	-0.050482	-114.122584
749	0.031250	15000	-0.049984	-114.172568
750	0.030938	15000	-0.049686	-114.222254
751	0.030629	15000	-0.049307	-114.271562
752	0.030321	15000	-0.049580	-114.321142
753	0.030015	15000	-0.048719	-114.369861
754	0.029711	15000	-0.048578	-114.418439
755	0.029409	15000	-0.049011	-114.467450
756	0.029108	15000	-0.048371	-114.515821
757	0.028810	15000	-0.048492	-114.564314
758	0.028513	15000	-0.047987	-114.612301
759	0.028218	15000	-0.047686	-114.659987
760	0.027925	15000	-0.048099	-114.708085
761	0.027634	15000	-0.046591	-114.754676
762	0.027345	15000	-0.047339	-114.802015
763	0.027057	15000	-0.047583	-114.849598
764	0.026771	15000	-0.046626	-114.896224
765	0.026487	15000	-0.046807	-114.943031
766	0.026205	15000	-0.045576	-114.988607
767	0.025925	15000	-0.045918	-115.034525
768	0.025647	15000	-0.046237	-115.080762
769	0.025370	15000	-0.045600	-115.126362
770	0.025095	15000	-0.045370	-115.171732
771	0.024822	15000	-0.045665	-115.217397
772	0.024551	15000	-0.045380	-115.262777
773	0.024281	15000	-0.044962	-115.307739
774	0.024014	15000	-0.044878	-115.352617
775	0.023748	15000	-0.045327	-115.397944
776	0.023483	15000	-0.044570	-115.442514
777	0.023221	15000	-0.044835	-115.487349
778	0.022960	15000	-0.044351	-115.531699
779	0.022702	15000	-0.043261	-115.574961
780	0.022445	15000	-0.043863	-115.618823
781	0.022189	15000	-0.043181	-115.662005
782	0.021936	15000	-0.042950	-115.704955
783	0.021684	15000	-0.043347	-115.748301
784	0.021434	15000	-0.043329	-115.791631
785	0.021185	15000	-0.043173	-115.834803
786	0.020939	15000	-0.043090	-115.877893
787	0.020694	15000	-0.043077	-115.920970
788	0.020451	15000	-0.042033	-115.963004
789	0.020209	15000	-0.041889	-116.004893
790	0.019969	15000	-0.041918	-116.046811
791	0.019731	15000	-0.042486	-116.089297
792	0.019495	15000	-0.041384	-116.130681
793	0.019261	15000	-0.041923	-116.172603
794	0.019028	15000	-0.041517	-116.214121
795	0.018796	15000	-0.041001	-116.255122
796	0.018567	15000	-0.040868	-116.295990
797	0.018339	15000	-0.041403	-116.337393
798	0.018113	15000	-0.040861	-116.378253
799	0.017889	15000	-0.040225	-116.418479
800	0.017666	15000	-0.039859	-116.458338
801	0.017445	15000	-0.039493	-116.497831
802	0.017225	15000	-0.039715	-116.537546
803	0.017007	15000	-0.039823	-116.577369
804	0.016791	15000	-0.039449	-116.616818
805	0.016577	15000	-0.039195	-116.656013
806	0.016364	15000	-0.039399	-116.695412
807	0.016153	15000	-0.038899	-116.734312
808	0.015943	15000	-0.038575	-116.772887
809	0.015736	15000	-0.038191	-116.811079
810	0.015529	15000	-0.038601	-116.849680
811	0.015325	15000	-0.037945	-116.887625
812	0.015122	15000	-0.037581	-116.925207
813	0.014920	15000	-0.037955	-116.963161
814	0.014721	15000	-0.038459	-117.001621
815	0.014523	15000	-0.037065	-117.038685
816	0.014326	15000	-0.037049	-117.075735
817	0.014131	15000	-0.037127	-117.112861
818	0.013938	15000	-0.036985	-117.149846
819	0.013746	15000	-0.036720	-117.186566
820	0.013556	15000	-0.036624	-117.223191
821	0.013367	15000	-0.036370	-117.259561
822	0.013181	15000	-0.035830	-117.295390
823	0.012995	15000	-0.036051	-117.331442
824	0.012811	15000	-0.035737	-117.367179
825	0.012629	15000	-0.035545	-117.402724
826	0.012448	15000	-0.035059	-117.437783
827	0.012269	15000	-0.035385	-117.473168
828	0.012092	15000	-0.035038	-117.508206
829	0.011916	15000	-0.034879	-117.543085
830	0.011741	15000	-0.034272	-117.577357
831	0.011568	15000	-0.034823	-117.612180
832	0.011397	15000	-0.034563	-117.646743
833	0.011227	15000	-0.034326	-117.681069
834	0.011059	15000	-0.033959	-117.715028
835	0.010892	15000	-0.033502	-117.748530
836	0.010727	15000	-0.033032	-117.781562
837	0.010563	15000	-0.032982	-117.814543
838	0.010401	15000	-0.032973	-117.847517
839	0.010240	15000	-0.033203	-117.880720
840	0.010081	15000	-0.032952	-117.913672
841	0.009923	15000	-0.032363	-117.946035
842	0.009767	15000	-0.032099	-117.978134
843	0.009612	15000	-0.031777	-118.009911
844	0.009459	15000	-0.031881	-118.041792
845	0.009307	15000	-0.031322	-118.073115
846	0.009156	15000	-0.031296	-118.104411
847	0.009008	15000	-0.031041	-118.135452
848	0.008860	15000	-0.030732	-118.166184
849	0.008714	15000	-0.030954	-118.197138
850	0.008570	15000	-0.030794	-118.227932
851	0.008427	15000	-0.030547	-118.258479
852	0.008285	15000	-0.030527	-118.289006
853	0.008145	15000	-0.030048	-118.319053
854	0.008006	15000	-0.029847	-118.348900
855	0.007869	15000	-0.029425	-118.378325
856	0.007733	15000	-0.029406	-118.407731
857	0.007598	15000	-0.029289	-118.437020
858	0.007465	15000	-0.028991	-118.466011
859	0.007334	15000	-0.029266	-118.495277
860	0.007203	15000	-0.028727	-118.524004
861	0.007075	15000	-0.028448	-118.552452
862	0.006947	15000	-0.027707	-118.580160
863	0.006821	15000	-0.028014	-118.608173
864	0.006696	15000	-0.027904	-118.636078
865	0.006573	15000	-0.027916	-118.663994
866	0.006451	15000	-0.027369	-118.691363
867	0.006330	15000	-0.026997	-118.718360
868	0.006211	15000	-0.026743	-118.745102
869	0.006093	15000	-0.027529	-118.772631
870	0.005977	15000	-0.026892	-118.799523
871	0.005862	15000	-0.026632	-118.826155
872	0.005748	15000	-0.025642	-118.851797
873	0.005635	15000	-0.025713	-118.877510
874	0.005524	15000	-0.025550	-118.903060
875	0.005414	15000	-0.025098	-118.928158
876	0.005306	15000	-0.024837	-118.952996
877	0.005199	15000	-0.025047	-118.978042
878	0.005093	15000	-0.024545	-119.002588
879	0.004988	15000	-0.024374	-119.026961
880	0.004885	15000	-0.024490	-119.051451
881	0.004783	15000	-0.024589	-119.076040
882	0.004682	15000	-0.024053	-119.100093
883	0.004583	15000	-0.023995	-119.124087
884	0.004485	15000	-0.023215	-119.147303
885	0.004388	15000	-0.023507	-119.170810
886	0.004292	15000	-0.022999	-119.193808
887	0.004198	15000	-0.022978	-119.216786
888	0.004105	15000	-0.022493	-119.239280
889	0.004013	15000	-0.022450	-119.261730
890	0.003923	15000	-0.022107	-119.283837
891	0.003833	15000	-0.021731	-119.305568
892	0.003745	15000	-0.021756	-119.327325
893	0.003658	15000	-0.021349	-119.348674
894	0.003573	15000	-0.021531	-119.370205
895	0.003488	15000	-0.021039	-119.391244
896	0.003405	15000	-0.020996	-119.412240
897	0.003323	15000	-0.020404	-119.432644
898	0.003242	15000	-0.020064	-119.452709
899	0.003162	15000	-0.020456	-119.473164
900	0.003084	15000	-0.020325	-119.493489
901	0.003007	15000	-0.020040	-119.513530
902	0.002930	15000	-0.019642	-119.533171
903	0.002855	15000	-0.019028	-119.552199
904	0.002782	15000	-0.019120	-119.571319
905	0.002709	15000	-0.018284	-119.589603
906	0.002638	15000	-0.018593	-119.608196
907	0.002567	15000	-0.018026	-119.626222
908	0.002498	15000	-0.017506	-119.643728
909	0.002430	15000	-0.017223	-119.660951
910	0.002363	15000	-0.017272	-119.678222
911	0.002297	15000	-0.017673	-119.695895
912	0.002233	15000	-0.017082	-119.712977
913	0.002169	15000	-0.016994	-119.729970
914	0.002106	15000	-0.016473	-119.746444
915	0.002045	15000	-0.016174	-119.762618
916	0.001985	15000	-0.016339	-119.778957
917	0.001925	15000	-0.015909	-119.794865
918	0.001867	15000	-0.015748	-119.810613
919	0.001810	15000	-0.015337	-119.825950
920	0.001754	15000	-0.015330	-119.841280
921	0.001699	15000	-0.014788	-119.856068
922	0.001645	15000	-0.014748	-119.870816
923	0.001592	15000	-0.014411	-119.885227
924	0.001540	15000	-0.014377	-119.899603
925	0.001490	15000	-0.013921	-119.913525
926	0.001440	15000	-0.013374	-119.926899
927	0.001391	15000	-0.013028	-119.939927
928	0.001343	15000	-0.013299	-119.953226
929	0.001296	15000	-0.012764	-119.965990
930	0.001251	15000	-0.012518	-119.978508
931	0.001206	15000	-0.012249	-119.990757
932	0.001162	15000	-0.012252	-120.003008
933	0.001119	15000	-0.012311	-120.015319
934	0.001077	15000	-0.011494	-120.026813
935	0.001036	15000	-0.011461	-120.038273
936	0.000996	15000	-0.011275	-120.049549
937	0.000957	15000	-0.011034	-120.060583
938	0.000919	15000	-0.010584	-120.071167
939	0.000882	15000	-0.010241	-120.081409
940	0.000846	15000	-0.010261	-120.091669
941	0.000810	15000	-0.010030	-120.101699
942	0.000776	15000	-0.009899	-120.111598
943	0.000742	15000	-0.009434	-120.121032
944	0.000709	15000	-0.009321	-120.130353
945	0.000678	15000	-0.008989	-120.139342
946	0.000647	15000	-0.009067	-120.148409
947	0.000617	15000	-0.008886	-120.157295
948	0.000587	15000	-0.008456	-120.165751
949	0.000559	15000	-0.008154	-120.173905
950	0.000531	15000	-0.008312	-120.182217
951	0.000505	15000	-0.007680	-120.189897
952	0.000479	15000	-0.007716	-120.197613
953	0.000454	15000	-0.007279	-120.204892
954	0.000430	15000	-0.007138	-120.212030
955	0.000406	15000	-0.007056	-120.219086
956	0.000383	15000	-0.006660	-120.225746
957	0.000362	15000	-0.006405	-120.232151
958	0.000340	15000	-0.006413	-120.238564
959	0.000320	15000	-0.006253	-120.244817
960	0.000300	15000	-0.005826	-120.250643
961	0.000281	15000	-0.005459	-120.256102
962	0.000263	15000	-0.005295	-120.261396
963	0.000246	15000	-0.005051	-120.266447
964	0.000229	15000	-0.005085	-120.271532
965	0.000213	15000	-0.004694	-120.276227
966	0.000198	15000	-0.004578	-120.280804
967	0.000183	15000	-0.004446	-120.285251
968	0.000169	15000	-0.004178	-120.289428
969	0.000156	15000	-0.003939	-120.293367
970	0.000143	15000	-0.003854	-120.297221
971	0.000131	15000	-0.003511	-120.300732
972	0.000120	15000	-0.003345	-120.304077
973	0.000109	15000	-0.003254	-120.307332
974	0.000099	15000	-0.003138	-120.310469
975	0.000089	15000	-0.002964	-120.313433
976	0.000080	15000	-0.002691	-120.316124
977	0.000072	15000	-0.002536	-120.318660
978	0.000064	15000	-0.002308	-120.320967
979	0.000057	15000	-0.002190	-120.323158
980	0.000050	15000	-0.002087	-120.325244
981	0.000043	15000	-0.002013	-120.327257
982	0.000038	15000	-0.001723	-120.328980
983	0.000032	15000	-0.001612	-120.330592
984	0.000028	15000	-0.001403	-120.331995
985	0.000023	15000	-0.001350	-120.333346
